Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
80,84902422,10,7,352,11595,352,0,35.2,111.3121736,4344,0,1656.428571,1757.579003,140.7144781,0.200229859,5306401.375,21000000.0,83900000,1,84900000,9432955.0,27900000.0,83900000,1,18705,3117.5,5247.89271,12954,16,0,0,0,0,336,232,0.11778227,0.082447589,0,4344,663.7222222,1326.987025,1760894.565,0,0,0,0,1,0,0,0,0,702.7647059,35.2,1656.428571,336,0,0,0,0,0,0,10,352,7,11595,274,235,1,32,1999.0,0.0,1999,1999,83900000.0,0.0,83900000,83900000,DoS Hulk
80,3267936,2,0,712,0,356,356,356.0,0.0,0,0,0.0,0.0,217.8745239,0.612007089,3267936.0,0.0,3267936,3267936,3267936,3267936.0,0.0,3267936,3267936,0,0.0,0.0,0,0,1,0,0,0,64,0,0.612007089,0.0,356,356,356.0,0.0,0.0,0,1,0,0,1,1,0,0,0,534.0,356.0,0.0,64,0,0,0,0,0,0,2,712,0,0,229,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Slowhttptest
80,98678605,6,7,332,11595,314,0,55.33333333,126.7543556,5792,0,1656.428571,2429.118623,120.8671322,0.131740817,8223217.083,28500000.0,98700000,16,98700000,19700000.0,44100000.0,98700000,259,98700000,16400000.0,40300000.0,98700000,49,0,0,0,0,164,232,0.060803454,0.070937363,0,5792,852.3571429,1850.936462,3425965.786,1,0,0,0,0,0,0,0,1,917.9230769,55.33333333,1656.428571,164,0,0,0,0,0,0,6,332,7,11595,0,235,3,20,11956.0,0.0,11956,11956,98700000.0,0.0,98700000,98700000,DoS Hulk
1113,30,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,266666.6667,66666.66667,30.0,0.0,30,30,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,33333.33333,33333.33333,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,98432884,5,8,374,11595,362,0,74.8,160.577707,4344,0,1449.375,1547.981999,121.5955432,0.132069685,8202740.333,28400000.0,98300000,47,98300000,24600000.0,49100000.0,98300000,192,98400000,14100000.0,37100000.0,98300000,47,0,0,0,0,144,264,0.050796033,0.081273652,0,4344,855.3571429,1343.5742,1805191.632,1,0,0,0,0,0,0,0,1,921.1538462,74.8,1449.375,144,0,0,0,0,0,0,5,374,8,11595,0,235,2,20,17026.0,0.0,17026,17026,98300000.0,0.0,98300000,98300000,DoS Hulk
80,100164813,7,6,379,11595,373,0,54.14285714,140.6205634,5792,0,1932.5,2181.008184,119.5429776,0.129786096,8347067.75,28900000.0,100000000,0,100000000,16700000.0,40800000.0,100000000,0,146445,29289.0,59829.00203,136047,46,0,0,0,0,220,200,0.069884821,0.059901275,0,5792,855.2857143,1666.163139,2776099.604,0,0,0,0,1,0,0,0,0,921.0769231,54.14285714,1932.5,220,0,0,0,0,0,0,7,379,6,11595,251,235,2,20,1986.0,0.0,1986,1986,100000000.0,0.0,100000000,100000000,DoS Hulk
57294,46,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,173913.0435,43478.26087,46.0,0.0,46,46,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,21739.13043,21739.13043,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,1065,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2816.901408,532.5,727.6128778,1047,18,1065,1065.0,0.0,1065,1065,0,0.0,0.0,0,0,0,0,0,0,64,32,1877.934272,938.9671362,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,274,235,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
3851,76,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,78947.36842,26315.78947,76.0,0.0,76,76,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,13157.89474,13157.89474,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,13292,2,2,12,0,6,6,6.0,0.0,0,0,0.0,0.0,902.7986759,300.932892,4430.666667,7222.712118,12768,77,524,524.0,0.0,524,524,13215,13215.0,0.0,13215,13215,0,0,0,0,40,64,150.466446,150.466446,0,6,3.6,3.286335345,10.8,1,0,0,0,0,0,0,0,1,4.5,6.0,0.0,40,0,0,0,0,0,0,2,12,2,0,0,235,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
