 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
443,1080676,7,8,3078,3315,1460,0,439.7142857,598.6859818,1687,0,414.375,719.4884964,5915.741628,13.88020091,77191.14286,265706.2392,999739,3,80934,13489.0,14816.76251,31805,48,1057427,151061.0,374410.9125,999777,3,0,0,0,0,152,172,6.477427092,7.402773819,0,1687,399.5625,629.6499524,396459.0625,0,0,0,1,0,0,0,0,1,426.2,439.7142857,414.375,152,0,0,0,0,0,0,7,3078,8,3315,8192,169,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,58,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,206896.551724138,34482.7586206897,58.0,0.0,58,58,58,58.0,0.0,58,58,0,0.0,0.0,0,0,0,0,0,0,40,0,34482.7586206897,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,255,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,230,2,2,66,98,33,33,33.0,0.0,49,49,49.0,0.0,713043.4783,17391.30435,76.66666667,127.5944095,224,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,8695.652174,8695.652174,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33.0,49.0,64,0,0,0,0,0,0,2,66,2,98,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30653,2,2,90,146,45,45,45.0,0.0,73,73,73.0,0.0,7699.083287,130.4929371,10217.66667,17692.32165,30647,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,65.24646853,65.24646853,45,73,56.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,70.25,45.0,73.0,40,0,0,0,0,0,0,2,90,2,146,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,162,2,2,96,180,48,48,48.0,0.0,90,90,90.0,0.0,1703703.704,24691.35802,54.0,88.33459119,156,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,12345.67901,12345.67901,48,90,64.8,23.00434742,529.2,0,0,0,0,0,0,0,0,1,81.0,48.0,90.0,40,0,0,0,0,0,0,2,96,2,180,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,1850280,2,2,90,376,45,45,45.0,0.0,224,152,188.0,50.91168825,251.8537735,2.161834966,616760.0,902880.992,1655873,23874,1826406,1826406.0,0.0,1826406,1826406,1679747,1679747.0,0.0,1679747,1679747,0,0,0,0,72,64,1.080917483,1.080917483,45,224,102.2,82.35714905,6782.7,0,0,0,0,0,0,0,0,1,127.75,45.0,188.0,72,0,0,0,0,0,0,2,90,2,376,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,47762,2,2,70,444,35,35,35.0,0.0,222,222,222.0,0.0,10761.6934,83.74858674,15920.66667,27570.2074,47756,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,64,41.87429337,41.87429337,35,222,109.8,102.4241183,10490.7,0,0,0,0,0,0,0,0,1,137.25,35.0,222.0,40,0,0,0,0,0,0,2,70,2,444,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,208,2,2,96,180,48,48,48.0,0.0,90,90,90.0,0.0,1326923.077,19230.76923,69.33333333,78.21338334,156,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,64,64,9615.384615,9615.384615,48,90,64.8,23.00434742,529.2,0,0,0,0,0,0,0,0,1,81.0,48.0,90.0,64,0,0,0,0,0,0,2,96,2,180,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50614,5812,5,1,377,6,258,6,75.4,105.37457,6,6,6.0,0.0,65898.14178,1032.346869,1162.4,2111.949052,4907,3,5812,1453.0,2321.685738,4907,3,0,0.0,0.0,0,0,1,0,0,0,100,20,860.2890571,172.0578114,6,258,91.57142857,116.0055417,13457.28571,0,1,0,0,1,0,0,0,0,106.8333333,75.4,6.0,100,0,0,0,0,0,0,5,377,1,6,119,0,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,204308,1,1,44,100,44,44,44.0,0.0,100,100,100.0,0.0,704.8182156,9.789141884,204308.0,0.0,204308,204308,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,4.894570942,4.894570942,44,100,62.66666667,32.33161507,1045.333333,0,0,0,0,0,0,0,0,1,94.0,44.0,100.0,32,0,0,0,0,0,0,1,44,1,100,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
